umap	assay_id	description	exposure_hrs	variant	comment	comment_type
-2.790146852	502468	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	529961	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	578050	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	652500	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	750687	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	753659	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	767088	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	812242	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	841464	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	935862	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	937609	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	940070	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	946975	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	955835	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	966699	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	968877	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	979254	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	984277	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1276932	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1280684	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1332249	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1444444	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1524074	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1581917	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1664881	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1694253	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1707222	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1709058	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1791008	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1807696	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1811291	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1830018	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1854894	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1908944	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.790146852	1921122	Cytotoxicity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.77415201	1438789	Cytotoxic activity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.77415201	1796290	Cytotoxicity activity against human HepG2 cells after 24 hrs by MTT assay	24			
-2.766362903	628940	Cytotoxicity against human HepG2 cells after 24 hrs by neutral red uptake assay	24			
-2.766169925	770342	Cytotoxicity against human HepG2 cells after 94 hrs by MTT assay	94			
-2.736790384	1878601	Cytotoxicity against human HepG2 cells measured after 24 hrs by neutral red assay	24			
-2.714423812	1822009	Cytotoxicity in human HepG2 cells incubated for 24 hrs by MTT assay	24			
-2.614827899	511358	Cytotoxicity against MDR1 Pgp overexpressing human HepG2 cells after 24 hrs by MTT assay	24			
-2.579089073	1677517	Cytotoxicity against human HepG2 cells after 43 hrs by Alamar blue dye-based fluorescence assay	43			
-2.565787636	444707	Cytotoxicity against human HepG2 cells after 72 hrs by MTT colorimetric method	72			
-2.562792002	552076	Cytotoxicity against human HepG2 cells after 24 hrs by Alamar blue assay	24			
-2.483473882	798434	Cytotoxicity against human HepG2 cells after 24 to 48 hrs by MTT assay	48			
-2.468783779	1883201	Cytotoxicity against human HepG2 cells after 48 hrs by CellTiter Glo assay	48			
-2.461971408	1462511	Cytotoxicity against human HepG2 cells after 40 hrs by celltiter Glo assay	40			
-2.434371671	901369	Cytotoxicity against Homo sapiens (human) HepG2 cells after 48 hr followed by gamma-radiation at dose level of 8 Gy by SRB assay				
-2.413423987	1737323	Antiproliferative activity against human HepG2 cells after 72 hrs by CCK-8 assay	72			
-2.413423987	1786297	Antiproliferative activity against human HepG2 cells after 72 hrs by CCK-8 assay	72			
-2.404195929	1670895	Antiproliferative activity against human HepG2 cells after 72 hrs by CCK-8 reagent based assay	72			
-2.379362178	840493	Cytotoxicity against human HepG2 cells after 48 hrs by neutral red assay	48			
-2.379362178	1299305	Cytotoxicity against human HepG2 cells after 48 hrs by Neutral Red assay	48			
-2.379362178	1459942	Cytotoxicity against human HepG2 cells after 48 hrs by neutral red assay	48			
-2.357470456	766025	Cytotoxicity against human SiHa cells after 48 hrs by MTT assay	48			
-2.357470456	801496	Cytotoxicity against human SiHa cells after 48 hrs by MTT assay	48			
-2.357470456	1300978	Cytotoxicity against human SiHa cells after 48 hrs by MTT assay	48			
-2.357470456	1444387	Cytotoxicity against human SiHa cells after 48 hrs by MTT assay	48			
-2.346496373	979799	Cytotoxicity against human HepG2 cells after 48 hrs by neutral red	48			
-2.309011302	852602	Cytotoxicity against human HepG2 cells incubated for 48 hrs by MTT assay	48			
-2.309011302	1847479	Cytotoxicity against human HepG2 cells incubated for 48 hrs by MTT assay	48			
-2.309011302	1931194	Cytotoxicity against human HepG2 cells incubated for 48 hrs by MTT assay	48			
-2.309011302	2057338	Cytotoxicity against human HepG2 cells incubated for 48 hrs by MTT assay	48			
-2.309011302	2276814	Cytotoxicity against human HepG2 cells incubated for 48 hrs by MTT assay	48			
-2.309011302	2302699	Cytotoxicity against human HepG2 cells incubated for 48 hrs by MTT assay	48			
-2.281720971	1821376	Cytotoxicity against human SiHa cells measured after 48 hrs by MTT assay	48			
-2.273417529	1883731	Cytotoxicity against human HepG2 cells after 48 hrs by XTT assay	48			
-2.272358365	459269	Cytotoxicity against human HepG2 cells after 48 hrs	48			
-2.272358365	622185	Cytotoxicity against human HepG2 cells after 48 hrs	48			
-2.272358365	856556	Cytotoxicity against human HepG2 cells after 48 hrs	48			
-2.272358365	1365850	Cytotoxicity against human HepG2 cells after 48 hrs	48			
-2.272358365	1451527	Cytotoxicity against human HepG2 cells after 48 hrs by	48			
-2.2629346	547058	Cytotoxicity against human HepG2 cells after 48 hrs by WST8 assay	48			
-2.2629346	607173	Cytotoxicity against human HepG2 cells after 48 hrs by WST8 assay	48			
-2.240083048	1438796	Cytotoxic activity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.240083048	1796291	Cytotoxicity activity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.223790994	735968	Cytotoxicity against human HepG2 cells after 48 hrs by CellTiterGlo luminescent assay	48			
-2.219108033	380078	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	510911	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	519153	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	587854	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	592247	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	624742	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	632389	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	632717	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	640010	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	651695	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	659978	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	674134	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	675355	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	684542	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	699899	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	714374	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	716762	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	717199	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	749591	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	758700	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	786924	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	789373	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	794463	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	807632	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	810981	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	811968	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	812172	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	814394	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	818472	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	823928	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	824114	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	824923	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	826251	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	832172	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	884157	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	885479	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	885835	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	886530	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	935863	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	951656	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	952809	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	955857	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	966328	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	968875	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	969535	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	974509	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	976266	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	983576	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	985388	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	987507	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	987669	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	988084	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	989795	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1281452	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1285081	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1285708	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1286592	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1290512	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1296418	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1347372	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1347537	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1347939	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1351016	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1351793	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1367928	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1432700	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1441136	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1442425	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1442847	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1444384	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1446185	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1451568	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1455583	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1459256	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1465990	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1466355	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1471294	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1471498	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1474469	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1474952	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1522679	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1525199	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1525683	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1548826	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1551828	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1556559	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1561912	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1567279	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1572187	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1573740	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1653536	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1653537	Cytotoxicity against human doxorubicin-resistant HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1679297	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1685332	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1718392	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1730794	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1734028	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1776738	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1788153	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1790557	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1790616	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1796670	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1801815	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1817167	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1843816	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1871812	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1883088	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1931791	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1934914	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.219108033	1995406	Cytotoxicity against human HepG2 cells after 48 hrs by MTT assay	48			
-2.213666216	1908165	Cytotoxicity against human HepG2 cells measured after 48 hrs by MTS assay	48			
-2.18768824	1686020	Cytotoxic activity against human HepG2 cells incubated for 48 hrs by MTT assay	48			
-2.185306133	1777490	Cytotoxicity against human HepG2 cells after 48 hrs by CellTiter-Glo luminescence assay	48			
-2.173117869	936661	Cytotoxicity against human HepG2 cells measured after 48 hrs by MTT assay	48			
-2.173117869	1652269	Cytotoxicity against human HepG2 cells measured after 48 hrs by MTT assay	48			
-2.173117869	1821372	Cytotoxicity against human HepG2 cells measured after 48 hrs by MTT assay	48			
-2.173117869	1822066	Cytotoxicity against human HepG2 cells measured after 48 hrs by MTT assay	48			
-2.169495234	1694243	Cytotoxicity against human HepG2 cells after 48 hrs by CellTiter-Glo assay	48			
-2.169495234	1792963	Cytotoxicity against human HepG2 cells after 48 hrs by CellTiter-Glo assay	48			
-2.156809211	744784	Cytotoxicity against human HepG2 after 48 hrs by MTT assay	48			
-2.155544524	425831	Cytotoxicity against human HEPG2 cells after 48 hrs by MTT colorimetric assay	48			
-2.144999991	684937	Cytotoxicity against human HepG2 cells after 48 hrs by Alamar blue assay	48			
-2.143858483	751773	Cytotoxicity against human HepG2 cells after 48 hrs by MTT based ELISA	48			
-2.081156925	988000	Cytotoxicity against human HepG2 cells after 48 hrs by CCK-8 assay	48			
-2.081156925	1297574	Cytotoxicity against human HepG2 cells after 48 hrs by CCK-8 assay	48			
-2.063219363	936659	Cytotoxicity against human adriamycin-resistant HepG2 cells measured after 48 hrs by MTT assay	48			
-2.041568681	1295916	Cytotoxicity against human HepG2 cells assessed as cellular ATP content after 48 hrs by CellTiter-Glo assay	48			
-2.035385599	1538034	Cytotoxicity against human HepG2 cells incubated for 48 hrs by CCK-8 assay	48			
-2.035385599	2288535	Cytotoxicity against human HepG2 cells incubated for 48 hrs by CCK-8 assay	48			
-2.01923644	2057346	Cytotoxicity against human HepG2 cells incubated for 48 hrs by SRB assay	48			
-2.01923644	2281919	Cytotoxicity against human HepG2 cells after 48 hrs incubation by SRB assay	48			
-1.994783262	581722	Cytotoxicity against human HepG2 cells in normoxic condition after 48 hrs by MTT assay	48			
-1.992911652	581723	Cytotoxicity against human HepG2 cells in hypoxic condition after 48 hrs by MTT assay	48		under hypoxic condition 	condition
-1.983278856	715934	Cytotoxicity against human HepG2 cells after 48 hrs by SRB assay	48			
-1.983278856	749878	Cytotoxicity against human HepG2 cells after 48 hrs by SRB assay	48			
-1.983278856	811731	Cytotoxicity against human HepG2 cells after 48 hrs by SRB assay	48			
-1.983278856	854615	Cytotoxicity against human HepG2 cells after 48 hrs by SRB assay	48			
-1.983278856	982832	Cytotoxicity against human HepG2 cells after 48 hrs by SRB assay	48			
-1.983278856	989018	Cytotoxicity against human HepG2 cells after 48 hrs by SRB assay	48			
-1.983278856	1444915	Cytotoxicity against human HepG2 cells after 48 hrs by SRB assay	48			
-1.983278856	1509059	Cytotoxicity against human HepG2 cells after 48 hrs by SRB assay	48			
-1.975586367	664519	Cytotoxicity against human C33A cells after 48 hrs by SRB assay	48			
-1.969338943	2381040	Cytotoxicity against human HepG2 cells incubated for 48 hrs by absorbance based assay	48			
-1.969258814	1448304	Cytotoxicity against human HepG2 cells after 48 hrs by MTT method	48			
-1.96736357	686891	Cytotoxicity against human HepG2 after 48 hrs by SRB assay	48			
-1.958236917	621514	Cytotoxicity against human HepG2 cells after 48 hrs by sulforhodamine B assay	48			
-1.958236917	640736	Cytotoxicity against human HepG2 cells after 48 hrs by sulforhodamine B assay	48			
-1.958236917	759470	Cytotoxicity against human HepG2 cells after 48 hrs by sulforhodamine B assay	48			
-1.958236917	767141	Cytotoxicity against human HepG2 cells after 48 hrs by Sulforhodamine B assay	48			
-1.958236917	792440	Cytotoxicity against human HepG2 cells after 48 hrs by sulforhodamine B assay	48			
-1.958236917	792443	Cytotoxicity against human HepG2 cells after 48 hrs by sulforhodamine B assay	48			
-1.958236917	805083	Cytotoxicity against human HepG2 cells after 48 hrs by sulforhodamine B assay	48			
-1.958236917	1452415	Cytotoxicity against human HepG2 cells after 48 hrs by sulforhodamine B assay	48			
-1.958236917	1909010	Cytotoxicity against human HepG2 cells after 48 hrs by sulforhodamine B assay	48			
-1.944152929	583155	Cytotoxicity against human HepG2 cells expressing wild type p53 after 48 hrs by SRB assay	48			
-1.897191935	1442089	Cytotoxicity against human HepG2 cells after 48 hrs by trypan blue exclusion method	48			
-1.88133473	551747	Cytotoxicity against human HepG2 cells after 48 hrs by acid phosphatase method	48			
-1.858138437	805619	Cytotoxicity against human HepG2 cells assessed as total cell protein after 48 hrs by SRB assay	48			
-1.83955672	599972	Cytotoxicity against human HepG2 cells assessed as surviving fraction after 48 hrs by SRB assay	48			
-1.83955672	970360	Cytotoxicity against human HepG2 cells assessed as cell survival after 48 hrs by SRB assay	48			
-1.829589893	1897494	Cytotoxicity against human HepG2 cells assessed as increase in growth inhibition by measuring decrease in cell viability incubated for 72 hrs and measured after 2 hrs by microplate reader based WST-1 assay	48			
-1.815341891	1843590	Cytotoxicity against human CaSki cells measured after 48 hrs by SRB assay	48			
-1.802357479	1854903	Cytotoxicity against human HepG2 cells incubated for 48 hrs by sulforhodamine B staining based ELISA	48			
-1.687452699	1873720	Cytotoxicity against human HepG2 cells after 48 hrs by Alamar blue staining-based fluorometric analysis	48			
-1.663059255	1789488	Cytotoxicity against human HepG2 cells assessed as effect on membrane permeability after 48 hrs by TOTO-3 iodide-staining based cell health assay	48			
-1.623830425	1789490	Cytotoxicity against human HepG2 cells assessed as effect on nuclear morphology after 48 hrs by Hoechst 33342-staining based cell health assay	48			
-1.610187978	687722	Cytotoxicity against human C33A cells after 48 hrs by sulforhodamine B assay	48			
-1.563998947	1789489	Cytotoxicity against human HepG2 cells assessed as effect on mitochondrial membrane potential after 48 hrs by TMRM-staining based cell health assay	48			
-1.515953394	2302622	Cytotoxicity against human HepG2 cells assessed as cell growth inhibition by MTT colorimetric assay				
-1.481037114	1439900	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell proliferation by MTT assay				
-1.481037114	2080696	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell proliferation by MTT assay				
-1.481037114	2277944	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell proliferation by MTT assay				
-1.478853187	1984571	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth after overnight incubation by MTT assay				
-1.469726538	2377676	Cytotoxicity against human HepG2 cells assessed as cell growth inhibition by CCK8 assay				
-1.461519106	2271073	Cytotoxicity against human HepG2 cells assessed as inhibition of cell growth by SRB assay				
-1.449286609	2149113	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth by secondary round CCK8 assay				
-1.449286609	2149116	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth by first round CCK8 assay				
-1.433505711	2112363	Antiproliferative activity against human HepG2 cells assessed as growth inhibition				
-1.433505711	2200897	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition				
-1.433505711	2201328	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition				
-1.433505711	2237728	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition				
-1.433505711	2271151	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth				
-1.433505711	2273915	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition				
-1.433505711	2294222	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition				
-1.433505711	2294587	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth				
-1.433505711	2301995	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition				
-1.433505711	2302486	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition				
-1.433505711	2369657	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth				
-1.419954163	2266457	Cytotoxicity against human HepG2 cells assessed as growth inhibition by XTT assay				
-1.402003226	2312603	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition measured after 4 days by CCK-8 assay	96			
-1.401771584	2271463	Antiproliferative activity against human SiHa cells assessed as cell growth inhibition				
-1.393083088	1336127	Cytotoxicity against human HepG2 cells assessed as growth inhibition by MTT assay				
-1.393083088	1475619	Cytotoxicity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.393083088	1550818	Cytotoxicity against human HepG2 cells assessed as growth inhibition by MTT assay				
-1.393083088	2196170	Cytotoxicity against human HepG2 cells assessed as cell growth inhibition by MTT assay				
-1.393083088	2229977	Cytotoxicity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.393083088	2270990	Cytotoxicity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.393083088	2273665	Cytotoxicity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.393083088	2360926	Cytotoxicity against human HepG2 cells assessed as cell growth inhibition by MTT assay				
-1.392714151	1929351	Antiproliferative activity against human HepG2 cells assessed as growth inhibition by MTT assay				
-1.392714151	1990676	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition by MTT assay				
-1.392714151	2214083	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition by MTT assay				
-1.392714151	2233538	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.392714151	2285038	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition by MTT assay				
-1.392714151	2285071	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition by MTT assay				
-1.392714151	2302069	Antiproliferative activity against human HepG2 cells assessed as cell growth inhibition by MTT assay				
-1.392714151	2321971	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.392714151	2345037	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.392714151	2356788	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.39032465	2273647	Antiproliferative activity against human HepG2 cells assessed as inhibition of cell proliferation by CCK-8 assay				
-1.367682106	2018697	Antitumor activity against human HepG2 cells assessed as inhibition of cell viability by MTT assay				
-1.36533737	1500853	Antiproliferative activity against human HepG2 cells assessed as cell growth by MTT assay				
-1.299657876	2237379	Anticancer activity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.279509305	2347807	Antiproliferative activity against human SiHa cells assessed as inhibition of cell growth by MTT assay				
-1.279509305	2356789	Antiproliferative activity against human SiHa cells assessed as inhibition of cell growth by MTT assay				
-1.276663315	2088183	Anti-hepatoma activity against human HepG2 cells assessed as cell growth inhibition by MTT assay				
-1.257915959	1456008	Antitumor activity against human HepG2 cells assessed as inhibition of cell growth by MTT assay				
-1.243517949	2127053	Anticancer activity against human HepG2 cells assessed as cell growth inhibition measured by MTT assay				
-1.235953878	2184470	Antiproliferative activity against human HepG2 cells assessed as reduction in cell growth by MTT assay				
-1.199403229	1456004	Antitumor activity against human SiHa cells assessed as inhibition of cell growth by MTT assay				
